image_path,identity
data/raw/Task_B/train\001_frontal\001_frontal.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_blurred.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_foggy.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_lowlight.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_noisy.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_rainy.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_resized.jpg,001_frontal
data/raw/Task_B/train\001_frontal\distortion\001_frontal_sunny.jpg,001_frontal
data/raw/Task_B/train\002_frontal\002_frontal.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_blurred.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_foggy.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_lowlight.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_noisy.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_rainy.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_resized.jpg,002_frontal
data/raw/Task_B/train\002_frontal\distortion\002_frontal_sunny.jpg,002_frontal
data/raw/Task_B/train\003_frontal\003_frontal.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_blurred.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_foggy.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_lowlight.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_noisy.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_rainy.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_resized.jpg,003_frontal
data/raw/Task_B/train\003_frontal\distortion\003_frontal_sunny.jpg,003_frontal
data/raw/Task_B/train\004_frontal\004_frontal.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_blurred.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_foggy.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_lowlight.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_noisy.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_rainy.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_resized.jpg,004_frontal
data/raw/Task_B/train\004_frontal\distortion\004_frontal_sunny.jpg,004_frontal
data/raw/Task_B/train\005_frontal\005_frontal.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_blurred.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_foggy.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_lowlight.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_noisy.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_rainy.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_resized.jpg,005_frontal
data/raw/Task_B/train\005_frontal\distortion\005_frontal_sunny.jpg,005_frontal
data/raw/Task_B/train\007_frontal\007_frontal.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_blurred.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_foggy.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_lowlight.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_noisy.jpg,007_frontal
data/raw/Task_B/train\007_frontal\distortion\007_frontal_rainy.jpg,007_frontal
